player_name,team_name,position,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Declan Rice,Arsenal,M,66,47,26.40449438,534,88,48.08743169,1062,803,1865,87.31273408,50,67.56756757,24,36,5,0,0,180,17,3,13,13,78,36,0,18,14,96,1,0,6.9557609,3.1747,26,0,10,0,4,9,25,19,6,3,1,,95,56.88622754,1,0,0,271,37,64,0,35,3099,1,12,0,1,0,0,0,0,0,0,0,498,12,0,7.458333333,0,3,0,0,0,0,0,0,774.75,0,5,13,27,14,13,14,50,0,70,35,50,63,126,28,178,145,60.1659751,183,1262,874,2136,268.5,40,4,2769,11,3,0
Gabriel Magalhães,Arsenal,D,46,1,20,205,78,44.57142857,594,934,1528,88.17080208,99,62.26415094,60,32,4,0,0,64,5,4,10,17,182,32,0,4,7,91,1,2,1.81835229,2.9272,21,0,11.11111111,46,3,7,20,15,5,3,0,,72,69.90291262,1,0,2,205,23,7,2,30,2751,0,34,0,0,0,0,0,0,0,0,0,234,2,0,7.265625,0,0,0,0,0,0,0,0,917,0,0,22,5,10,7,1,50,0,38,20,52.63157895,7,98,2,5,171,65.26717557,175,731,1002,1733,232.5,27,5,2158,34,4,0
Bukayo Saka,Arsenal,F,15,40,32.78688525,341,14,35.8974359,476,117,593,76.71410091,22,42.30769231,30,31,5,0,0,117,12,8,24,8,11,31,0,32,16,160,0,1,7.16070266,7.5522,33,0,9.85915493,0,7,12,16,11,5,7,0,,145,52.72727273,1,0,1,180,16,63,4,25,2225,14,1,0,2,1,0,100,0,1,0,0,407,27,0,7.235483871,0,2,0,0,0,0,0,0,317.8571429,0,2,52,19,20,27,50,49.5049505,0,41,21,51.2195122,61,39,101,122,167,51.07033639,39,626,147,773,224.3,71,5,1382,54,2,0
Martín Zubimendi,Arsenal,M,49,3,25,414,53,46.90265487,934,750,1684,87.34439834,65,66.32653061,33,38,1,0,0,116,1,2,8,10,78,37,0,10,21,103,2,3,2.2630964,2.8516,33,0,18.51851852,0,5,6,25,20,5,3,2,,88,55.69620253,2,0,2,244,39,19,0,34,3001,1,5,0,0,0,0,0,0,0,0,0,312,7,0,7.043243243,0,3,0,0,0,0,0,0,600.2,0,0,20,7,10,9,7,46.66666667,0,68,38,55.88235294,19,99,15,12,153,59.765625,113,1120,808,1928,260.6,27,2,2331,15,4,0
William Saliba,Arsenal,D,26,4,44.44444444,258,59,50.86206897,701,1253,1954,92.87072243,73,55.3030303,59,31,0,0,0,113,1,2,1,15,133,30,0,9,7,100,0,2,1.42431941,0.8575,22,0,20,26,1,1,20,15,5,1,0,,58,58.58585859,1,0,0,150,17,10,0,30,2615,1,7,0,0,0,0,0,0,0,0,0,184,2,0,7.023333333,0,0,0,0,0,0,0,0,2615,0,0,5,0,3,1,7,70,0,35,22,62.85714286,10,53,10,9,131,56.70995671,116,799,1305,2104,210.7,5,0,2412,16,2,0
Kepa Arrizabalaga,Arsenal,G,1,0,0,1,3,37.5,2,13,15,75,1,100,0,1,0,0,0,8,0,0,0,0,3,1,0,0,0,0,0,0,0.00049934,,0,0,0,5,0,0,1,1,0,0,0,-0.055,0,0,0,1,0,5,0,0,0,1,90,0,0,0,0,0,0,0,0,0,0,0,5,0,1,7,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,100,8,7,13,20,7,0,0,33,0,0,0
Martin Ødegaard,Arsenal,M,30,6,27.27272727,305,38,51.35135135,485,216,701,84.66183575,3,37.5,5,24,6,0,0,70,6,0,5,3,6,24,0,13,12,57,0,1,3.66602663,1.2311,9,0,4.545454545,0,1,7,13,10,3,0,1,,37,41.57303371,0,0,0,127,7,40,1,16,1370,2,0,0,1,0,0,0,0,0,0,0,201,19,0,6.991666667,0,0,0,0,0,0,0,0,1370,0,0,10,12,9,8,9,33.33333333,0,19,8,42.10526316,39,77,27,22,40,41.2371134,74,593,235,828,167.8,22,2,999,9,0,0
Eberechi Eze,Arsenal,M,13,2,16.66666667,228,16,42.10526316,386,179,565,84.83483483,10,28.57142857,25,33,2,0,0,79,4,2,24,2,10,33,0,24,7,90,0,2,2.65917195,5.0541,16,0,11.11111111,0,7,9,14,11,3,6,1,,88,57.51633987,0,0,2,101,11,16,1,22,1900,1,1,0,0,0,0,0,0,0,0,0,186,17,0,6.96969697,0,6,0,0,0,0,0,0,271.4285714,0,1,34,29,19,20,29,59.18367347,0,19,14,73.68421053,16,33,49,12,98,52.12765957,38,467,199,666,230,63,2,973,40,1,0
Leandro Trossard,Arsenal,F,39,14,24.13793103,281,31,41.89189189,440,143,583,77.01453104,6,31.57894737,13,31,6,0,0,80,8,8,18,4,14,31,0,39,18,113,0,1,3.5623701,5.475,13,0,11.32075472,0,6,12,15,12,3,4,2,,90,47.36842105,0,0,5,174,9,36,1,21,2006,5,3,0,0,0,0,0,0,0,0,0,345,10,0,6.951612903,0,5,0,0,0,0,0,0,334.3333333,0,0,39,14,20,15,25,44.64285714,0,27,17,62.96296296,36,82,56,58,96,45.93301435,74,590,167,757,215.5,53,2,1194,39,2,0
Jurriën Timber,Arsenal,D,18,6,13.04347826,344,20,38.46153846,573,352,925,85.25345622,40,66.66666667,20,30,5,0,0,97,4,7,3,11,53,30,0,25,9,110,0,1,1.60875528,4.7688,38,0,12,0,3,8,20,14,6,3,0,,107,54.31472081,2,0,0,160,24,27,0,28,2457,0,6,0,0,0,0,0,0,0,0,1,302,7,0,6.913333333,0,1,0,0,0,0,0,0,819,0,0,24,1,15,7,13,39.39393939,0,66,37,56.06060606,27,42,33,46,147,57.19844358,52,695,390,1085,207.4,25,1,1656,29,5,0
